Time,CENTRAL SYSTEM_UNIT1:DesPer 1:Des Heat Mass Flow [kg/s],CENTRAL SYSTEM_UNIT1:DesPer 1:Des Heat Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 1:Des Cool Mass Flow [kg/s],CENTRAL SYSTEM_UNIT1:DesPer 1:Des Sens Cool Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 1:Des Tot Cool Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Heat Mass Flow [kg/s],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Heat Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Cool Mass Flow [kg/s],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Sens Cool Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Tot Cool Cap [W]
00:15:00,5.335009E-01,1.490533E+04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.406716E-01,1.678648E+03,2.818235E+03
00:30:00,5.346453E-01,1.493731E+04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.317155E-01,1.571790E+03,2.671143E+03
00:45:00,5.357440E-01,1.496801E+04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.231363E-01,1.469428E+03,2.528323E+03
01:00:00,5.368105E-01,1.499781E+04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.149064E-01,1.371232E+03,2.388284E+03
01:15:00,5.374620E-01,1.501603E+04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.079598E-01,1.288348E+03,2.270570E+03
01:30:00,5.379993E-01,1.503104E+04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.015764E-01,1.212182E+03,2.161124E+03
01:45:00,5.384656E-01,1.504407E+04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,9.568040E-02,1.141830E+03,2.058515E+03
02:00:00,5.388765E-01,1.505554E+04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,9.023249E-02,1.076824E+03,1.962349E+03
02:15:00,5.391615E-01,1.506351E+04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,8.531533E-02,1.018151E+03,1.874936E+03
02:30:00,5.394000E-01,1.507017E+04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,8.074146E-02,9.635730E+02,1.792526E+03
02:45:00,5.396058E-01,1.507592E+04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,7.647784E-02,9.126969E+02,1.714584E+03
03:00:00,5.397897E-01,1.508106E+04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,7.249569E-02,8.651794E+02,1.640729E+03
03:15:00,5.399481E-01,1.508549E+04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.871290E-02,8.200404E+02,1.569391E+03
03:30:00,5.400901E-01,1.508945E+04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.509466E-02,7.768650E+02,1.500176E+03
03:45:00,5.402159E-01,1.509297E+04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.162665E-02,7.354821E+02,1.432834E+03
04:00:00,5.403286E-01,1.509612E+04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,5.830195E-02,6.958089E+02,1.367269E+03
04:15:00,5.401946E-01,1.509237E+04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,5.567038E-02,6.644074E+02,1.316585E+03
04:30:00,5.399770E-01,1.508629E+04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,5.335091E-02,6.367286E+02,1.271285E+03
04:45:00,5.397093E-01,1.507881E+04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,5.130482E-02,6.123118E+02,1.230883E+03
05:00:00,5.394075E-01,1.507037E+04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,4.951313E-02,5.909308E+02,1.195492E+03
05:15:00,5.387385E-01,1.505168E+04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,4.994846E-02,5.961284E+02,1.213420E+03
05:30:00,5.379583E-01,1.502987E+04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,5.474087E-02,6.533205E+02,1.332889E+03
05:45:00,5.371073E-01,1.500608E+04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.569347E-02,7.840179E+02,1.590021E+03
06:00:00,5.362003E-01,1.498073E+04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,8.293603E-02,9.897658E+02,1.965677E+03
06:15:00,5.354024E-01,1.495843E+04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.049681E-01,1.252682E+03,2.432903E+03
06:30:00,5.346538E-01,1.493751E+04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.287125E-01,1.536060E+03,2.903013E+03
06:45:00,5.339296E-01,1.491727E+04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.517582E-01,1.811140E+03,3.271462E+03
07:00:00,5.332247E-01,1.489757E+04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.733533E-01,2.068942E+03,3.572683E+03
07:15:00,5.329906E-01,1.489102E+04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.926394E-01,2.299168E+03,3.872147E+03
07:30:00,5.328350E-01,1.488667E+04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.105895E-01,2.513438E+03,4.097366E+03
07:45:00,5.327272E-01,1.488366E+04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.274642E-01,2.714871E+03,4.297478E+03
08:00:00,5.326503E-01,1.488152E+04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.438242E-01,2.910162E+03,4.502890E+03
08:15:00,5.339838E-01,1.491877E+04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.563506E-01,3.059688E+03,4.650054E+03
