Time,LIVING_UNIT1:MINNEAPOLIS ST PAUL INTL ARP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],LIVING_UNIT1:MINNEAPOLIS ST PAUL INTL ARP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],LIVING_UNIT1:MINNEAPOLIS ST PAUL INTL ARP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],LIVING_UNIT1:MINNEAPOLIS ST PAUL INTL ARP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:15:00,1.417772E+04,1.723840E+03,5.000672E-01,1.423549E-01
00:30:00,1.421046E+04,1.617197E+03,5.012220E-01,1.335470E-01
00:45:00,1.424180E+04,1.514955E+03,5.023273E-01,1.251027E-01
01:00:00,1.427225E+04,1.416813E+03,5.034008E-01,1.169971E-01
01:15:00,1.429099E+04,1.334052E+03,5.040618E-01,1.101617E-01
01:30:00,1.430650E+04,1.257945E+03,5.046087E-01,1.038762E-01
01:45:00,1.431999E+04,1.187550E+03,5.050847E-01,9.806251E-02
02:00:00,1.433189E+04,1.122377E+03,5.055044E-01,9.268005E-02
02:15:00,1.434021E+04,1.063457E+03,5.057977E-01,8.781406E-02
02:30:00,1.434718E+04,1.008500E+03,5.060437E-01,8.327552E-02
02:45:00,1.435321E+04,9.571597E+02,5.062562E-01,7.903560E-02
03:00:00,1.435859E+04,9.091955E+02,5.064461E-01,7.507455E-02
03:15:00,1.436324E+04,8.637274E+02,5.066101E-01,7.131967E-02
03:30:00,1.436741E+04,8.203980E+02,5.067571E-01,6.774143E-02
03:45:00,1.437119E+04,7.790253E+02,5.068905E-01,6.432479E-02
04:00:00,1.437458E+04,7.394732E+02,5.070101E-01,6.105852E-02
04:15:00,1.437098E+04,7.083695E+02,5.068830E-01,5.848988E-02
04:30:00,1.436499E+04,6.810717E+02,5.066717E-01,5.623566E-02
04:45:00,1.435746E+04,6.570673E+02,5.064066E-01,5.425343E-02
05:00:00,1.434896E+04,6.360454E+02,5.061066E-01,5.251749E-02
05:15:00,1.433008E+04,6.410459E+02,5.054410E-01,5.293019E-02
05:30:00,1.430803E+04,6.951565E+02,5.046635E-01,5.739850E-02
05:45:00,1.428395E+04,8.189015E+02,5.038147E-01,6.761802E-02
06:00:00,1.425826E+04,1.014095E+03,5.029090E-01,8.373809E-02
06:15:00,1.423560E+04,1.263761E+03,5.021099E-01,1.043538E-01
06:30:00,1.421432E+04,1.534103E+03,5.013593E-01,1.266742E-01
06:45:00,1.419369E+04,1.798043E+03,5.006321E-01,1.484639E-01
07:00:00,1.417351E+04,2.047137E+03,4.999203E-01,1.690264E-01
07:15:00,1.416664E+04,2.270751E+03,4.996786E-01,1.874859E-01
07:30:00,1.416204E+04,2.480158E+03,4.995164E-01,2.047733E-01
07:45:00,1.415881E+04,2.677678E+03,4.994024E-01,2.210793E-01
08:00:00,1.415657E+04,2.868659E+03,4.993233E-01,2.368453E-01
08:15:00,1.419424E+04,3.012175E+03,5.006518E-01,2.486932E-01
08:30:00,1.423717E+04,3.143623E+03,5.021651E-01,2.595450E-01
08:45:00,1.428336E+04,3.267117E+03,5.037926E-01,2.697405E-01
09:00:00,1.433191E+04,3.382361E+03,5.055034E-01,2.792549E-01
09:15:00,1.435620E+04,3.510587E+03,5.063583E-01,2.898416E-01
09:30:00,1.437901E+04,3.629691E+03,5.071615E-01,2.996752E-01
09:45:00,1.440110E+04,3.736639E+03,5.079395E-01,3.085051E-01
10:00:00,1.442279E+04,3.830636E+03,5.087040E-01,3.162658E-01
10:15:00,1.442942E+04,3.924967E+03,5.089374E-01,3.240564E-01
