Time,CENTRAL SYSTEM_UNIT1:DesPer 1:Des Heat Mass Flow [kg/s],CENTRAL SYSTEM_UNIT1:DesPer 1:Des Heat Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 1:Des Cool Mass Flow [kg/s],CENTRAL SYSTEM_UNIT1:DesPer 1:Des Sens Cool Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 1:Des Tot Cool Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Heat Mass Flow [kg/s],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Heat Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Cool Mass Flow [kg/s],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Sens Cool Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Tot Cool Cap [W]
00:15:00,1.649925E-01,4.606415E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,3.453439E-01,4.122658E+03,4.150102E+03
00:30:00,1.661078E-01,4.637556E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,3.335656E-01,3.982053E+03,4.005777E+03
00:45:00,1.671768E-01,4.667403E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,3.224266E-01,3.849079E+03,3.869089E+03
01:00:00,1.682148E-01,4.696387E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,3.118683E-01,3.723036E+03,3.740344E+03
01:15:00,1.688542E-01,4.714242E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,3.028612E-01,3.615513E+03,3.631153E+03
01:30:00,1.693851E-01,4.729066E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.946491E-01,3.517480E+03,3.531385E+03
01:45:00,1.698494E-01,4.742030E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.871160E-01,3.427552E+03,3.439874E+03
02:00:00,1.702634E-01,4.753589E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.802034E-01,3.345031E+03,3.356125E+03
02:15:00,1.705568E-01,4.761783E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.739560E-01,3.270450E+03,3.280651E+03
02:30:00,1.708034E-01,4.768669E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.681636E-01,3.201303E+03,3.210370E+03
02:45:00,1.710154E-01,4.774587E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.627807E-01,3.137042E+03,3.145008E+03
03:00:00,1.712008E-01,4.779764E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.577758E-01,3.077294E+03,3.084386E+03
03:15:00,1.713568E-01,4.784119E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.530400E-01,3.020759E+03,3.027204E+03
03:30:00,1.714964E-01,4.788018E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.485307E-01,2.966928E+03,2.972746E+03
03:45:00,1.716232E-01,4.791559E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.442250E-01,2.915527E+03,2.920774E+03
04:00:00,1.717392E-01,4.794798E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.401045E-01,2.866337E+03,2.871106E+03
04:15:00,1.716190E-01,4.791441E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.368072E-01,2.826974E+03,2.831363E+03
04:30:00,1.714215E-01,4.785927E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.339266E-01,2.792586E+03,2.796901E+03
04:45:00,1.711737E-01,4.779008E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.313909E-01,2.762315E+03,2.766664E+03
05:00:00,1.708868E-01,4.770996E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.291691E-01,2.735791E+03,2.740135E+03
05:15:00,1.702484E-01,4.753172E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.282797E-01,2.725174E+03,2.729460E+03
05:30:00,1.695092E-01,4.732532E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.281380E-01,2.723483E+03,2.728554E+03
05:45:00,1.687037E-01,4.710040E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.287203E-01,2.730433E+03,2.736522E+03
06:00:00,1.678479E-01,4.686147E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.349915E-01,2.805297E+03,2.812307E+03
06:15:00,1.670887E-01,4.664948E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.530822E-01,3.021262E+03,3.029726E+03
06:30:00,1.663700E-01,4.644881E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.860079E-01,3.414324E+03,3.429214E+03
06:45:00,1.656713E-01,4.625369E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,3.329743E-01,3.975000E+03,3.997373E+03
07:00:00,1.649858E-01,4.606230E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,3.874323E-01,4.625105E+03,4.656351E+03
