Time,LIVING_UNIT1:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],LIVING_UNIT1:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],LIVING_UNIT1:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],LIVING_UNIT1:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:15:00,4.218252E+03,3.976240E+03,1.488892E-01,3.282273E-01
00:30:00,4.250237E+03,3.841342E+03,1.500180E-01,3.170917E-01
00:45:00,4.280901E+03,3.713579E+03,1.511003E-01,3.065451E-01
01:00:00,4.310683E+03,3.592337E+03,1.521513E-01,2.965368E-01
01:15:00,4.329211E+03,3.489365E+03,1.528052E-01,2.880367E-01
01:30:00,4.344647E+03,3.395499E+03,1.533500E-01,2.802882E-01
01:45:00,4.358162E+03,3.309333E+03,1.538270E-01,2.731754E-01
02:00:00,4.370221E+03,3.230175E+03,1.542526E-01,2.666410E-01
02:15:00,4.378844E+03,3.158677E+03,1.545569E-01,2.607391E-01
02:30:00,4.386105E+03,3.092361E+03,1.548132E-01,2.552648E-01
02:45:00,4.392352E+03,3.030696E+03,1.550336E-01,2.501746E-01
03:00:00,4.397815E+03,2.973322E+03,1.552265E-01,2.454385E-01
03:15:00,4.402420E+03,2.919029E+03,1.553890E-01,2.409567E-01
03:30:00,4.406543E+03,2.867359E+03,1.555345E-01,2.366915E-01
03:45:00,4.410286E+03,2.818060E+03,1.556666E-01,2.326221E-01
04:00:00,4.413706E+03,2.770929E+03,1.557873E-01,2.287315E-01
04:15:00,4.410452E+03,2.733622E+03,1.556724E-01,2.256520E-01
04:30:00,4.404997E+03,2.701203E+03,1.554799E-01,2.229759E-01
04:45:00,4.398087E+03,2.672785E+03,1.552360E-01,2.206301E-01
05:00:00,4.390040E+03,2.647988E+03,1.549520E-01,2.185832E-01
05:15:00,4.372046E+03,2.638881E+03,1.543169E-01,2.178314E-01
05:30:00,4.351163E+03,2.638260E+03,1.535799E-01,2.177801E-01
05:45:00,4.328356E+03,2.645584E+03,1.527750E-01,2.183847E-01
06:00:00,4.304085E+03,2.697419E+03,1.519184E-01,2.226636E-01
06:15:00,4.282481E+03,2.834931E+03,1.511560E-01,2.340148E-01
06:30:00,4.261998E+03,3.077752E+03,1.504331E-01,2.540590E-01
06:45:00,4.242067E+03,3.419851E+03,1.497297E-01,2.822986E-01
07:00:00,4.222506E+03,3.814003E+03,1.490393E-01,3.148352E-01
07:15:00,4.215910E+03,4.199612E+03,1.488066E-01,3.466669E-01
07:30:00,4.211351E+03,4.560155E+03,1.486457E-01,3.764294E-01
07:45:00,4.208080E+03,4.894492E+03,1.485303E-01,4.040285E-01
08:00:00,4.205766E+03,5.206686E+03,1.484487E-01,4.297995E-01
08:15:00,4.242550E+03,5.455957E+03,1.497470E-01,4.503764E-01
08:30:00,4.284093E+03,5.680560E+03,1.512131E-01,4.689166E-01
08:45:00,4.328702E+03,5.886709E+03,1.527874E-01,4.859334E-01
09:00:00,4.375685E+03,6.078894E+03,1.544454E-01,5.017974E-01
09:15:00,4.398890E+03,6.279279E+03,1.552640E-01,5.183382E-01
09:30:00,4.420921E+03,6.467953E+03,1.560413E-01,5.339122E-01
09:45:00,4.442472E+03,6.643997E+03,1.568016E-01,5.484437E-01
10:00:00,4.463625E+03,6.806493E+03,1.575480E-01,5.618567E-01
10:15:00,4.470017E+03,6.967592E+03,1.577734E-01,5.751544E-01
10:30:00,4.474804E+03,7.112674E+03,1.579422E-01,5.871302E-01
10:45:00,4.478482E+03,7.240412E+03,1.580719E-01,5.976740E-01
11:00:00,4.481396E+03,7.350195E+03,1.581747E-01,6.067359E-01
11:15:00,4.483284E+03,7.439383E+03,1.582413E-01,6.140977E-01
11:30:00,4.484767E+03,7.509819E+03,1.582936E-01,6.199114E-01
11:45:00,4.486024E+03,7.565407E+03,1.583380E-01,6.244996E-01
12:00:00,4.487112E+03,7.611192E+03,1.583763E-01,6.282785E-01
12:15:00,4.487953E+03,7.656987E+03,1.584060E-01,6.320579E-01
12:30:00,4.488780E+03,7.709186E+03,1.584352E-01,6.363661E-01
12:45:00,4.489582E+03,7.775407E+03,1.584636E-01,6.418312E-01
13:00:00,4.490358E+03,7.861356E+03,1.584910E-01,6.489244E-01
13:15:00,4.491518E+03,7.968724E+03,1.585319E-01,6.577858E-01
13:30:00,4.492579E+03,8.098582E+03,1.585694E-01,6.685038E-01
13:45:00,4.493565E+03,8.248124E+03,1.586042E-01,6.808453E-01
14:00:00,4.494488E+03,8.413282E+03,1.586368E-01,6.944759E-01
14:15:00,4.494934E+03,8.587100E+03,1.586525E-01,7.088211E-01
14:30:00,4.495233E+03,8.764024E+03,1.586630E-01,7.234227E-01
14:45:00,4.495416E+03,8.938356E+03,1.586694E-01,7.378121E-01
15:00:00,4.495503E+03,9.104914E+03,1.586725E-01,7.515613E-01
15:15:00,4.488794E+03,9.265196E+03,1.584357E-01,7.647942E-01
15:30:00,4.480258E+03,9.409451E+03,1.581344E-01,7.767052E-01
15:45:00,4.470615E+03,9.534179E+03,1.577941E-01,7.870049E-01
16:00:00,4.460128E+03,9.636394E+03,1.574240E-01,7.954455E-01
