Time,LIVING_UNIT1:SACRAMENTO METROPOLITAN AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],LIVING_UNIT1:SACRAMENTO METROPOLITAN AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],LIVING_UNIT1:SACRAMENTO METROPOLITAN AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],LIVING_UNIT1:SACRAMENTO METROPOLITAN AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:15:00,6.118252E+03,1.596193E+03,2.159246E-01,1.317702E-01
00:30:00,6.149958E+03,1.442570E+03,2.170434E-01,1.190879E-01
00:45:00,6.180331E+03,1.295761E+03,2.181152E-01,1.069681E-01
01:00:00,6.209839E+03,1.155572E+03,2.191564E-01,9.539488E-02
01:15:00,6.227936E+03,1.033799E+03,2.197950E-01,8.534206E-02
01:30:00,6.242992E+03,9.214482E+02,2.203263E-01,7.606746E-02
01:45:00,6.256124E+03,8.177078E+02,2.207896E-01,6.750365E-02
02:00:00,6.267709E+03,7.220340E+02,2.211985E-01,5.960574E-02
02:15:00,6.275865E+03,6.349899E+02,2.214863E-01,5.242020E-02
02:30:00,6.282707E+03,5.545259E+02,2.217277E-01,4.577749E-02
02:45:00,6.288584E+03,4.801419E+02,2.219351E-01,3.963675E-02
03:00:00,6.293810E+03,4.118265E+02,2.221196E-01,3.399703E-02
03:15:00,6.298203E+03,3.486646E+02,2.222746E-01,2.878278E-02
03:30:00,6.302119E+03,2.903354E+02,2.224127E-01,2.396752E-02
03:45:00,6.305672E+03,2.365104E+02,2.225381E-01,1.952413E-02
04:00:00,6.308852E+03,1.881841E+02,2.226504E-01,1.553468E-02
04:15:00,6.305264E+03,1.502414E+02,2.225237E-01,1.240244E-02
04:30:00,6.299453E+03,1.152290E+02,2.223187E-01,9.512127E-03
04:45:00,6.292205E+03,8.138855E+01,2.220629E-01,6.718583E-03
05:00:00,6.284026E+03,5.044987E+01,2.217743E-01,4.164602E-03
05:15:00,6.265754E+03,2.860732E+01,2.211295E-01,2.361838E-03
05:30:00,6.244514E+03,6.691091E+01,2.203801E-01,5.523715E-03
05:45:00,6.221361E+03,2.169312E+02,2.195631E-01,1.790803E-02
06:00:00,6.196660E+03,4.945020E+02,2.186915E-01,4.082312E-02
06:15:00,6.174808E+03,9.165633E+02,2.179205E-01,7.566651E-02
06:30:00,6.154198E+03,1.419928E+03,2.171932E-01,1.172218E-01
06:45:00,6.134192E+03,1.940540E+03,2.164873E-01,1.602007E-01
07:00:00,6.114591E+03,2.446350E+03,2.157956E-01,2.019559E-01
07:15:00,6.108094E+03,2.910348E+03,2.155665E-01,2.402584E-01
07:30:00,6.103702E+03,3.342153E+03,2.154116E-01,2.759031E-01
