Time,CENTRAL SYSTEM_UNIT1:DesPer 1:Des Heat Mass Flow [kg/s],CENTRAL SYSTEM_UNIT1:DesPer 1:Des Heat Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 1:Des Cool Mass Flow [kg/s],CENTRAL SYSTEM_UNIT1:DesPer 1:Des Sens Cool Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 1:Des Tot Cool Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Heat Mass Flow [kg/s],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Heat Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Cool Mass Flow [kg/s],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Sens Cool Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Tot Cool Cap [W]
00:15:00,1.882812E-01,5.257237E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.355584E-01,1.618161E+03,1.913522E+03
00:30:00,1.894175E-01,5.288968E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.239437E-01,1.479519E+03,1.760737E+03
00:45:00,1.905059E-01,5.319362E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.128583E-01,1.347195E+03,1.614024E+03
01:00:00,1.915625E-01,5.348868E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.022692E-01,1.220796E+03,1.472845E+03
01:15:00,1.922184E-01,5.367185E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,9.314376E-02,1.111867E+03,1.349792E+03
01:30:00,1.927620E-01,5.382366E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,8.473598E-02,1.011498E+03,1.234644E+03
01:45:00,1.932372E-01,5.395635E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,7.698598E-02,9.189821E+02,1.129863E+03
02:00:00,1.936607E-01,5.407462E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.979982E-02,8.331975E+02,1.031847E+03
02:15:00,1.939625E-01,5.415890E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.322826E-02,7.547504E+02,9.415438E+02
02:30:00,1.942160E-01,5.422970E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,5.709473E-02,6.815370E+02,8.563894E+02
02:45:00,1.944339E-01,5.429054E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,5.133270E-02,6.127580E+02,7.755311E+02
03:00:00,1.946245E-01,5.434375E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,4.596813E-02,5.487231E+02,6.995033E+02
03:15:00,1.947850E-01,5.438856E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,4.090009E-02,4.882275E+02,6.268878E+02
03:30:00,1.949286E-01,5.442867E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,3.610431E-02,4.309814E+02,5.574083E+02
03:45:00,1.950591E-01,5.446513E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,3.157487E-02,3.769144E+02,4.910371E+02
04:00:00,1.951785E-01,5.449848E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.731965E-02,3.261203E+02,4.279609E+02
04:15:00,1.950601E-01,5.446540E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.391500E-02,2.854794E+02,3.773453E+02
04:30:00,1.948618E-01,5.441001E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.097420E-02,2.503750E+02,3.332200E+02
04:45:00,1.946117E-01,5.434019E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.848785E-02,2.206954E+02,2.956246E+02
05:00:00,1.943214E-01,5.425910E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.639794E-02,1.957479E+02,2.638190E+02
05:15:00,1.936774E-01,5.407926E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.567753E-02,1.871485E+02,2.537112E+02
05:30:00,1.929289E-01,5.387022E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.720455E-02,2.053771E+02,2.797266E+02
05:45:00,1.921122E-01,5.364213E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.232763E-02,2.665323E+02,3.638428E+02
06:00:00,1.912436E-01,5.339958E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,3.137494E-02,3.745300E+02,5.098320E+02
06:15:00,1.904721E-01,5.318411E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,4.406673E-02,5.260315E+02,7.118616E+02
06:30:00,1.897426E-01,5.298039E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,5.903512E-02,7.047103E+02,9.452903E+02
06:45:00,1.890335E-01,5.278236E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,7.456246E-02,8.900644E+02,1.182238E+03
07:00:00,1.883380E-01,5.258813E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,9.003653E-02,1.074788E+03,1.412109E+03
07:15:00,1.881029E-01,5.252244E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.047126E-01,1.249986E+03,1.622735E+03
07:30:00,1.879421E-01,5.247754E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.194176E-01,1.425527E+03,1.811189E+03
07:45:00,1.878275E-01,5.244551E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.342991E-01,1.603174E+03,1.995012E+03
08:00:00,1.877469E-01,5.242302E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.496629E-01,1.786579E+03,2.183262E+03
08:15:00,1.890521E-01,5.278747E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.620618E-01,1.934590E+03,2.324423E+03
08:30:00,1.905309E-01,5.320047E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.744160E-01,2.082068E+03,2.461976E+03
08:45:00,1.921187E-01,5.364395E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.871306E-01,2.233850E+03,2.606925E+03
09:00:00,1.937909E-01,5.411103E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.002752E-01,2.390763E+03,2.760368E+03
09:15:00,1.946202E-01,5.434276E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.153761E-01,2.571031E+03,2.941042E+03
09:30:00,1.954044E-01,5.456184E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.304609E-01,2.751102E+03,3.132174E+03
09:45:00,1.961707E-01,5.477595E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.454000E-01,2.929434E+03,3.310532E+03
10:00:00,1.969223E-01,5.498591E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.600594E-01,3.104427E+03,3.486183E+03
10:15:00,1.971506E-01,5.504973E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.753578E-01,3.287044E+03,3.680367E+03
10:30:00,1.973200E-01,5.509707E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.903148E-01,3.465587E+03,3.862717E+03
10:45:00,1.974497E-01,5.513333E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,3.047543E-01,3.637953E+03,4.039028E+03
11:00:00,1.975522E-01,5.516194E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,3.186331E-01,3.803620E+03,4.215117E+03
11:15:00,1.976182E-01,5.518039E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,3.312389E-01,3.954091E+03,4.370235E+03
11:30:00,1.976699E-01,5.519482E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,3.430028E-01,4.094515E+03,4.515788E+03
11:45:00,1.977136E-01,5.520702E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,3.541539E-01,4.227614E+03,4.657494E+03
12:00:00,1.977512E-01,5.521755E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,3.648741E-01,4.355573E+03,4.789638E+03
12:15:00,1.977804E-01,5.522567E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,3.762567E-01,4.491429E+03,4.933893E+03
12:30:00,1.978092E-01,5.523370E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,3.881267E-01,4.633096E+03,5.080903E+03
12:45:00,1.978372E-01,5.524153E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,4.006279E-01,4.782304E+03,5.234519E+03
13:00:00,1.978644E-01,5.524911E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,4.138892E-01,4.940575E+03,5.402583E+03
13:15:00,1.979051E-01,5.526047E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,4.278152E-01,5.106773E+03,5.574817E+03
13:30:00,1.979423E-01,5.527087E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,4.422040E-01,5.278501E+03,5.750148E+03
13:45:00,1.979769E-01,5.528053E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,4.567357E-01,5.451881E+03,5.928402E+03
14:00:00,1.980094E-01,5.528959E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,4.711445E-01,5.623797E+03,6.104147E+03
14:15:00,1.980249E-01,5.529393E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,4.848567E-01,5.787407E+03,6.272401E+03
14:30:00,1.980351E-01,5.529679E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,4.975708E-01,5.939102E+03,6.428041E+03
14:45:00,1.980412E-01,5.529850E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,5.090757E-01,6.076446E+03,6.567935E+03
15:00:00,1.980439E-01,5.529927E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,5.191929E-01,6.197272E+03,6.691971E+03
