Time,LIVING_UNIT1:SACRAMENTO METROPOLITAN AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],LIVING_UNIT1:SACRAMENTO METROPOLITAN AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],LIVING_UNIT1:SACRAMENTO METROPOLITAN AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],LIVING_UNIT1:SACRAMENTO METROPOLITAN AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:15:00,5.573458E+03,2.637096E+03,1.966992E-01,2.177023E-01
00:30:00,5.596161E+03,2.518764E+03,1.975003E-01,2.079333E-01
00:45:00,5.618512E+03,2.402072E+03,1.982890E-01,1.982996E-01
01:00:00,5.640722E+03,2.287024E+03,1.990727E-01,1.888018E-01
01:15:00,5.652999E+03,2.185439E+03,1.995058E-01,1.804155E-01
01:30:00,5.663620E+03,2.088441E+03,1.998806E-01,1.724090E-01
01:45:00,5.673436E+03,1.995684E+03,2.002269E-01,1.647528E-01
02:00:00,5.682656E+03,1.907081E+03,2.005523E-01,1.574394E-01
02:15:00,5.689311E+03,1.823353E+03,2.007871E-01,1.505284E-01
02:30:00,5.695387E+03,1.742652E+03,2.010015E-01,1.438660E-01
02:45:00,5.701081E+03,1.664473E+03,2.012025E-01,1.374117E-01
03:00:00,5.706549E+03,1.588700E+03,2.013954E-01,1.311560E-01
03:15:00,5.711554E+03,1.514298E+03,2.015720E-01,1.250136E-01
03:30:00,5.716366E+03,1.441088E+03,2.017418E-01,1.189695E-01
03:45:00,5.721026E+03,1.369040E+03,2.019063E-01,1.130213E-01
04:00:00,5.725545E+03,1.298181E+03,2.020657E-01,1.071713E-01
04:15:00,5.724027E+03,1.235858E+03,2.020121E-01,1.020261E-01
04:30:00,5.720993E+03,1.177298E+03,2.019051E-01,9.719154E-02
04:45:00,5.717089E+03,1.121974E+03,2.017673E-01,9.262411E-02
05:00:00,5.712495E+03,1.069755E+03,2.016053E-01,8.831306E-02
05:15:00,5.698963E+03,1.038425E+03,2.011277E-01,8.572654E-02
05:30:00,5.683552E+03,1.055216E+03,2.005840E-01,8.711270E-02
05:45:00,5.667061E+03,1.144661E+03,2.000021E-01,9.449712E-02
06:00:00,5.649737E+03,1.304894E+03,1.993908E-01,1.077257E-01
