Time,CENTRAL SYSTEM_UNIT1:DesPer 1:Des Heat Mass Flow [kg/s],CENTRAL SYSTEM_UNIT1:DesPer 1:Des Heat Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 1:Des Cool Mass Flow [kg/s],CENTRAL SYSTEM_UNIT1:DesPer 1:Des Sens Cool Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 1:Des Tot Cool Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Heat Mass Flow [kg/s],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Heat Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Cool Mass Flow [kg/s],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Sens Cool Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Tot Cool Cap [W]
00:15:00,1.837388E-01,5.130370E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.083167E-01,2.486651E+03,2.851869E+03
00:30:00,1.845400E-01,5.152745E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.993668E-01,2.379821E+03,2.737346E+03
00:45:00,1.853290E-01,5.174779E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.905111E-01,2.274114E+03,2.624022E+03
01:00:00,1.861132E-01,5.196678E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.817498E-01,2.169533E+03,2.511887E+03
01:15:00,1.865477E-01,5.208815E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.740591E-01,2.077732E+03,2.413006E+03
01:30:00,1.869240E-01,5.219323E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.667037E-01,1.989917E+03,2.317184E+03
01:45:00,1.872720E-01,5.229041E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.596477E-01,1.905676E+03,2.226963E+03
02:00:00,1.875989E-01,5.238171E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.528781E-01,1.824856E+03,2.140169E+03
02:15:00,1.878354E-01,5.244774E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.464661E-01,1.748306E+03,2.057895E+03
02:30:00,1.880513E-01,5.250806E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.402775E-01,1.674435E+03,1.978064E+03
