File read date,IDF name,City,Window #,Model #,Heating Gas Site,units,Heating Electricity Site,units,Cooling Gas Site,units,Cooling Electricity Site,units,Fan Electricity Site,units,Total Energy Site,units,Peak Heating Gas Site,units,Peak Heating Electricity Site,units,Peak Cooling Gas Site,units,Peak Cooling Electricity Site,units,Peak Fan Electricity Site,units
2019-01-31 10:34:54.029811,Minneapolis_4inSlab - window 3 - model 2,Minneapolis_4inSlab,3,2,121.45,GJ,0.0,GJ,0.0,GJ,6.13,GJ,4.61,GJ,132.19,GJ,19443.08,W,0.0,W,0.0,W,2189.1,W,492.88,W
2019-01-31 10:34:54.044937,Minneapolis_4inSlab - window 1 - model 6,Minneapolis_4inSlab,1,6,127.22,GJ,0.0,GJ,0.0,GJ,8.92,GJ,6.26,GJ,142.39999999999998,GJ,21121.13,W,0.0,W,0.0,W,2756.34,W,650.53,W
2019-01-31 10:34:54.092623,Minneapolis_4inSlab - window 3 - model 5,Minneapolis_4inSlab,3,5,130.05,GJ,0.0,GJ,0.0,GJ,4.95,GJ,4.5,GJ,139.5,GJ,19814.03,W,0.0,W,0.0,W,2316.95,W,502.29,W
2019-01-31 10:34:54.107486,Minneapolis_4inSlab - window 1 - model 1,Minneapolis_4inSlab,1,1,123.77,GJ,0.0,GJ,0.0,GJ,9.13,GJ,6.33,GJ,139.23000000000002,GJ,20786.97,W,0.0,W,0.0,W,2783.66,W,658.25,W
2019-01-31 10:34:54.139123,Sacramento_highMass_interior_4inWall_6inSlab - window 4 - model 3,Sacramento_highMass_interior_4inWall_6inSlab,4,3,31.21,GJ,0.0,GJ,0.0,GJ,6.46,GJ,3.88,GJ,41.550000000000004,GJ,6923.37,W,0.0,W,0.0,W,1414.78,W,370.9,W
2019-01-31 10:34:54.154294,Sacramento_4inSlab - window 4 - model 5,Sacramento_4inSlab,4,5,35.32,GJ,0.0,GJ,0.0,GJ,6.32,GJ,4.31,GJ,45.95,GJ,6935.47,W,0.0,W,0.0,W,1877.86,W,479.7,W
2019-01-31 10:34:54.169995,Phoenix_4inSlab - window 3 - model 3,Phoenix_4inSlab,3,3,10.53,GJ,0.0,GJ,0.0,GJ,27.86,GJ,8.71,GJ,47.1,GJ,4996.55,W,0.0,W,0.0,W,3239.42,W,757.87,W
2019-01-31 10:34:54.185556,Sacramento_highMass_interior_4inWall_6inSlab - window 4 - model 4,Sacramento_highMass_interior_4inWall_6inSlab,4,4,31.94,GJ,0.0,GJ,0.0,GJ,6.12,GJ,3.74,GJ,41.800000000000004,GJ,6923.29,W,0.0,W,0.0,W,1374.57,W,360.51,W
2019-01-31 10:34:54.201279,Phoenix_4inSlab - window 3 - model 4,Phoenix_4inSlab,3,4,10.63,GJ,0.0,GJ,0.0,GJ,27.36,GJ,8.56,GJ,46.550000000000004,GJ,5009.34,W,0.0,W,0.0,W,3191.49,W,746.58,W
2019-01-31 10:34:54.268924,Sacramento_4inSlab - window 4 - model 2,Sacramento_4inSlab,4,2,34.12,GJ,0.0,GJ,0.0,GJ,7.03,GJ,4.61,GJ,45.76,GJ,6921.18,W,0.0,W,0.0,W,1981.65,W,508.18,W
2019-01-31 10:34:54.291811,Minneapolis_4inSlab - window 3 - model 4,Minneapolis_4inSlab,3,4,121.23,GJ,0.0,GJ,0.0,GJ,6.2,GJ,4.62,GJ,132.05,GJ,19455.14,W,0.0,W,0.0,W,2190.78,W,493.19,W
2019-01-31 10:34:54.316550,Minneapolis_4inSlab - window 3 - model 3,Minneapolis_4inSlab,3,3,120.48,GJ,0.0,GJ,0.0,GJ,6.38,GJ,4.65,GJ,131.51,GJ,19455.18,W,0.0,W,0.0,W,2185.58,W,493.19,W
2019-01-31 10:34:54.334869,Phoenix_4inSlab - window 1 - model 1,Phoenix_4inSlab,1,1,11.48,GJ,0.0,GJ,0.0,GJ,35.67,GJ,11.19,GJ,58.34,GJ,5443.7,W,0.0,W,0.0,W,4095.62,W,959.51,W
2019-01-31 10:34:54.350560,Sacramento_highMass_interior_4inWall_6inSlab - window 4 - model 5,Sacramento_highMass_interior_4inWall_6inSlab,4,5,33.17,GJ,0.0,GJ,0.0,GJ,5.56,GJ,3.52,GJ,42.25000000000001,GJ,6937.78,W,0.0,W,0.0,W,1320.42,W,344.08,W
2019-01-31 10:34:54.365934,Sacramento_4inSlab - window 4 - model 3,Sacramento_4inSlab,4,3,33.73,GJ,0.0,GJ,0.0,GJ,7.31,GJ,4.72,GJ,45.76,GJ,6866.32,W,0.0,W,0.0,W,2027.25,W,520.65,W
2019-01-31 10:34:54.412862,Phoenix_4inSlab - window 3 - model 5,Phoenix_4inSlab,3,5,12.17,GJ,0.0,GJ,0.0,GJ,24.09,GJ,7.74,GJ,44.0,GJ,5265.6,W,0.0,W,0.0,W,2956.27,W,693.49,W
2019-01-31 10:34:54.436217,Sacramento_highMass_interior_4inWall_6inSlab - window 4 - model 2,Sacramento_highMass_interior_4inWall_6inSlab,4,2,31.7,GJ,0.0,GJ,0.0,GJ,6.21,GJ,3.78,GJ,41.69,GJ,6901.92,W,0.0,W,0.0,W,1389.64,W,363.76,W
2019-01-31 10:34:54.453988,Phoenix_4inSlab - window 1 - model 6,Phoenix_4inSlab,1,6,11.95,GJ,0.0,GJ,0.0,GJ,35.26,GJ,11.1,GJ,58.309999999999995,GJ,5420.66,W,0.0,W,0.0,W,4076.12,W,954.8,W
2019-01-31 10:34:54.472944,Phoenix_4inSlab - window 3 - model 2,Phoenix_4inSlab,3,2,10.67,GJ,0.0,GJ,0.0,GJ,27.17,GJ,8.52,GJ,46.36,GJ,4966.65,W,0.0,W,0.0,W,3180.47,W,744.0,W
2019-01-31 10:34:54.491930,Sacramento_4inSlab - window 4 - model 4,Sacramento_4inSlab,4,4,34.31,GJ,0.0,GJ,0.0,GJ,6.92,GJ,4.56,GJ,45.790000000000006,GJ,6920.97,W,0.0,W,0.0,W,1963.09,W,503.09,W
2019-01-31 10:34:54.520929,Sacramento_highMass_interior_4inWall_6inSlab - window 2 - model 4,Sacramento_highMass_interior_4inWall_6inSlab,2,4,39.97,GJ,0.0,GJ,0.0,GJ,6.44,GJ,4.35,GJ,50.76,GJ,8061.25,W,0.0,W,0.0,W,1881.95,W,481.42,W
2019-01-31 10:34:54.540972,Sacramento_4inSlab - window 2 - model 2,Sacramento_4inSlab,2,2,42.86,GJ,0.0,GJ,0.0,GJ,7.31,GJ,5.27,GJ,55.44,GJ,8055.29,W,0.0,W,0.0,W,2119.41,W,543.16,W
2019-01-31 10:34:54.583877,Phoenix_4inSlab - window 5 - model 4,Phoenix_4inSlab,5,4,10.17,GJ,0.0,GJ,0.0,GJ,22.63,GJ,7.12,GJ,39.919999999999995,GJ,4758.91,W,0.0,W,0.0,W,2665.03,W,624.83,W
2019-01-31 10:34:54.599593,Sacramento_highMass_interior_4inWall_6inSlab - window 2 - model 3,Sacramento_highMass_interior_4inWall_6inSlab,2,3,39.9,GJ,0.0,GJ,0.0,GJ,6.47,GJ,4.36,GJ,50.73,GJ,8061.25,W,0.0,W,0.0,W,1887.05,W,482.8,W
2019-01-31 10:34:54.615254,Phoenix_4inSlab - window 5 - model 3,Phoenix_4inSlab,5,3,10.09,GJ,0.0,GJ,0.0,GJ,23.03,GJ,7.24,GJ,40.36000000000001,GJ,4624.31,W,0.0,W,0.0,W,2708.53,W,635.1,W
2019-01-31 10:34:54.630628,Sacramento_4inSlab - window 2 - model 5,Sacramento_4inSlab,2,5,45.05,GJ,0.0,GJ,0.0,GJ,5.74,GJ,4.57,GJ,55.36,GJ,7992.89,W,0.0,W,0.0,W,1931.76,W,494.69,W
2019-01-31 10:34:54.661979,Minneapolis_4inSlab - window 5 - model 5,Minneapolis_4inSlab,5,5,124.59,GJ,0.0,GJ,0.0,GJ,4.23,GJ,4.16,GJ,132.98,GJ,18764.9,W,0.0,W,0.0,W,2119.54,W,451.58,W
2019-01-31 10:34:54.677615,Minneapolis_4inSlab - window 5 - model 2,Minneapolis_4inSlab,5,2,119.65,GJ,0.0,GJ,0.0,GJ,4.73,GJ,4.16,GJ,128.54000000000002,GJ,18739.76,W,0.0,W,0.0,W,2177.6,W,462.76,W
2019-01-31 10:34:54.753630,Sacramento_highMass_interior_4inWall_6inSlab - window 2 - model 2,Sacramento_highMass_interior_4inWall_6inSlab,2,2,40.09,GJ,0.0,GJ,0.0,GJ,6.39,GJ,4.33,GJ,50.81,GJ,8062.37,W,0.0,W,0.0,W,1870.35,W,478.29,W
2019-01-31 10:34:54.768895,Sacramento_4inSlab - window 2 - model 4,Sacramento_4inSlab,2,4,42.76,GJ,0.0,GJ,0.0,GJ,7.37,GJ,5.29,GJ,55.419999999999995,GJ,8054.19,W,0.0,W,0.0,W,2132.36,W,546.65,W
2019-01-31 10:34:54.797333,Phoenix_4inSlab - window 5 - model 2,Phoenix_4inSlab,5,2,10.28,GJ,0.0,GJ,0.0,GJ,22.44,GJ,7.07,GJ,39.79,GJ,4757.97,W,0.0,W,0.0,W,2651.06,W,621.52,W
